ID;score
255821;0.04
255822;0.63
255823;0.48
255824;0.03
255825;0.52
255826;0.09
255827;0.16
255828;0.31
255829;0.41
255830;0.05
255831;0.14
255832;0.22
255833;0.04
255834;0.14
255835;0.32
255836;0.28
255837;0.14
255838;0.22
255839;0.31
255840;0.58
255841;0.09
255842;0.11
255843;0.58
255844;0.68
255845;0.1
255846;0.06
255847;0.09
255848;0.0
255849;0.6
255850;0.32
255851;0.64
255852;0.44
255853;0.26
255854;0.25
255855;0.53
255856;0.35
255857;0.26
255858;0.16
255859;0.4
255860;0.11
255861;0.25
255862;0.21
255863;0.4
255864;0.64
255865;0.04
255866;0.2
255867;0.15
255868;0.24
255869;0.02
255870;0.22
255871;0.45
255872;0.02
255873;0.45
255874;0.25
255875;0.5
255876;0.16
255877;0.07
255878;0.17
255879;0.28
255880;0.33
255881;0.21
255882;0.33
255883;0.03
255884;0.3
255885;0.02
255886;0.03
255887;0.26
255888;0.03
255889;0.19
255890;0.19
255891;0.31
255892;0.34
255893;0.37
255894;0.16
255895;0.03
255896;0.49
255897;0.22
255898;0.06
255899;0.08
255900;0.37
255901;0.21
255902;0.44
255903;0.18
255904;0.37
255905;0.39
255906;0.45
255907;0.03
255908;0.13
255909;0.12
255910;0.7
255911;0.31
255912;0.77
255913;0.01
255914;0.06
255915;0.37
255916;0.2
255917;0.4
255918;0.39
255919;0.44
255920;0.14
255921;0.27
255922;0.2
255923;0.33
255924;0.42
255925;0.09
255926;0.22
255927;0.51
255928;0.27
255929;0.38
255930;0.02
255931;0.77
255932;0.51
255933;0.05
255934;0.03
255935;0.12
255936;0.51
255937;0.18
255938;0.52
255939;0.08
255940;0.24
255941;0.27
255942;0.29
255943;0.27
255944;0.35
255945;0.28
255946;0.36
255947;0.17
255948;0.25
255949;0.34
255950;0.32
255951;0.44
255952;0.01
255953;0.21
255954;0.33
255955;0.29
255956;0.13
255957;0.29
255958;0.27
255959;0.41
255960;0.35
255961;0.58
255962;0.02
255963;0.64
255964;0.2
255965;0.11
255966;0.25
255967;0.18
255968;0.22
255969;0.29
255970;0.01
255971;0.23
255972;0.73
255973;0.46
255974;0.16
255975;0.68
255976;0.39
255977;0.04
255978;0.32
255979;0.41
255980;0.38
255981;0.27
255982;0.07
255983;0.11
255984;0.55
255985;0.06
255986;0.41
255987;0.24
255988;0.37
255989;0.16
255990;0.14
255991;0.01
255992;0.25
255993;0.33
255994;0.6
255995;0.42
255996;0.53
255997;0.19
255998;0.04
255999;0.56
256000;0.57
256001;0.31
256002;0.68
256003;0.73
256004;0.63
256005;0.35
256006;0.14
256007;0.48
256008;0.57
256009;0.07
256010;0.03
256011;0.77
256012;0.04
256013;0.39
256014;0.39
256015;0.19
256016;0.68
256017;0.01
256018;0.12
256019;0.65
256020;0.16
256021;0.11
256022;0.46
256023;0.14
256024;0.23
256025;0.37
256026;0.63
256027;0.39
256028;0.22
256029;0.19
256030;0.03
256031;0.4
256032;0.19
256033;0.08
256034;0.07
256035;0.09
256036;0.11
256037;0.26
256038;0.51
256039;0.04
256040;0.22
256041;0.61
256042;0.17
256043;0.26
256044;0.43
256045;0.22
256046;0.23
256047;0.37
256048;0.47
256049;0.26
256050;0.06
256051;0.02
256052;0.07
256053;0.2
256054;0.06
256055;0.3
256056;0.23
256057;0.11
256058;0.34
256059;0.31
256060;0.37
256061;0.08
256062;0.18
256063;0.13
256064;0.5
256065;0.52
256066;0.75
256067;0.13
256068;0.4
256069;0.09
256070;0.13
256071;0.44
256072;0.11
256073;0.58
256074;0.21
256075;0.06
256076;0.1
256077;0.41
256078;0.33
256079;0.2
256080;0.29
256081;0.08
256082;0.16
256083;0.02
256084;0.47
256085;0.21
256086;0.19
256087;0.25
256088;0.38
256089;0.18
256090;0.24
256091;0.23
256092;0.29
256093;0.12
256094;0.04
256095;0.09
256096;0.64
256097;0.62
256098;0.29
256099;0.23
256100;0.18
256101;0.02
256102;0.3
256103;0.44
256104;0.33
256105;0.2
256106;0.15
256107;0.1
256108;0.32
256109;0.38
256110;0.54
256111;0.28
256112;0.11
256113;0.1
256114;0.19
256115;0.13
256116;0.12
256117;0.53
256118;0.41
256119;0.11
256120;0.17
256121;0.21
256122;0.13
256123;0.47
256124;0.12
256125;0.62
256126;0.24
256127;0.46
256128;0.3
256129;0.78
256130;0.01
256131;0.02
256132;0.04
256133;0.54
256134;0.06
256135;0.26
256136;0.21
256137;0.24
256138;0.13
256139;0.55
256140;0.35
256141;0.28
256142;0.25
256143;0.22
256144;0.1
256145;0.37
256146;0.54
256147;0.48
256148;0.02
256149;0.02
256150;0.09
256151;0.38
256152;0.46
256153;0.38
256154;0.32
256155;0.42
256156;0.29
256157;0.05
256158;0.74
256159;0.27
256160;0.39
256161;0.42
256162;0.09
256163;0.31
256164;0.24
256165;0.38
256166;0.43
256167;0.14
256168;0.43
256169;0.17
256170;0.19
256171;0.46
256172;0.04
256173;0.17
256174;0.16
256175;0.09
256176;0.37
256177;0.66
256178;0.58
256179;0.09
256180;0.06
256181;0.22
256182;0.03
256183;0.19
256184;0.14
256185;0.12
256186;0.2
256187;0.0
256188;0.42
256189;0.14
256190;0.1
256191;0.46
256192;0.47
256193;0.34
256194;0.24
256195;0.5
256196;0.2
256197;0.4
256198;0.41
256199;0.82
256200;0.01
256201;0.21
256202;0.29
256203;0.03
256204;0.01
256205;0.21
256206;0.34
256207;0.66
256208;0.75
256209;0.44
256210;0.13
256211;0.02
256212;0.37
256213;0.26
256214;0.3
256215;0.2
256216;0.02
256217;0.16
256218;0.01
256219;0.07
256220;0.08
256221;0.15
256222;0.5
256223;0.07
256224;0.41
256225;0.35
256226;0.56
256227;0.18
256228;0.04
256229;0.4
256230;0.35
256231;0.04
256232;0.06
256233;0.03
256234;0.18
256235;0.36
256236;0.11
256237;0.36
256238;0.28
256239;0.5
256240;0.07
256241;0.45
256242;0.5
256243;0.15
256244;0.43
256245;0.05
256246;0.68
256247;0.41
256248;0.19
256249;0.21
256250;0.16
256251;0.35
256252;0.24
